問題,選択肢A,選択肢B,選択肢C,選択肢D,解答,ヒント,原型,意味
A lot of time has been [ ] on this difficult project.,spends,spending,spent,spended,spent,受動態「have been + 過去分詞」の形を作ります。,spend,過ごす
You should not [ ] near the dangerous entrance.,stands,standing,stood,stand,stand,助動詞「should」の後ろには動詞の原型がきます。,stand,立つ
Everyone [ ] up when the principal entered the room yesterday.,stands,stood,standing,standed,stood,文末に「yesterday（昨日）」という過去の言葉があります。,stand,立つ
The old castle has [ ] on top of the hill for centuries.,stands,standing,stood,standed,stood,現在完了形「has + 過去分詞」の形を作ります。,stand,立つ
He loves to [ ] English to university students.,teaches,teaching,taught,teach,teach,不定詞「to」の後ろには動詞の原型がきます。,teach,教える
My grandfather [ ] me how to ride a bicycle ten years ago.,teaches,taught,teaching,teached,taught,文末に「ten years ago（10年前）」という過去の言葉があります。,teach,教える
She has [ ] mathematics at this high school since 2015.,teaches,teaching,taught,teached,taught,現在完了形「has + 過去分詞」の形を作ります。,teach,教える
Can you [ ] me the way to the nearest station?,tells,telling,told,tell,tell,助動詞「Can」の後ろには動詞の原型がきます。,tell,話す
She [ ] me a very interesting secret last night.,tells,told,telling,telled,told,文末に「last night（昨夜）」という過去の言葉があります。,tell,話す
I have already [ ] him the truth about the accident.,tells,telling,told,telled,told,現在完了形「have + 過去分詞」の形を作ります。,tell,話す
I need some time to [ ] about your new proposal.,thinks,thinking,thought,think,think,不定詞「to」の後ろには動詞の原型がきます。,think,思う
At first, I [ ] that the answer was correct yesterday.,thinks,thought,thinking,thinked,thought,文末に「yesterday（昨日）」という過去の言葉があります。,think,思う
The plan was thoroughly [ ] through by the committee.,thinks,thinking,thought,thinked,thought,受動態「was + 過去分詞」の形を作ります。,think,思う
It is necessary to [ ] the cultural background of others.,understands,understanding,understood,understand,understand,不定詞「to」の後ろには動詞の原型がきます。,understand,理解する
I finally [ ] the difficult math problem yesterday afternoon.,understands,understood,understanding,understanded,understood,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,understand,理解する
His explanation was clearly [ ] by all the students.,understands,understanding,understood,understanded,understood,受動態「was + 過去分詞」の形を作ります。,understand,理解する
Our team will do our best to [ ] the game tomorrow.,wins,winning,won,win,win,不定詞「to」の後ろには動詞の原型がきます。,win,勝つ
They [ ] the championship match after a long fight yesterday.,wins,won,winning,winned,won,文末に「yesterday（昨日）」という過去の言葉があります。,win,勝つ
She has [ ] the first prize in the speech contest twice.,wins,winning,won,winned,won,現在完了形「has + 過去分詞」の形を作ります。,win,勝つ
I want to [ ] a good doctor in the future.,am,was,been,be,be,不定詞「to」の後ろには動詞の原型（be）がきます。,be/am/is,～である
He [ ] very busy with his homework yesterday morning.,am,was,been,be,was,主語が単数（He）で、文末に「yesterday morning（昨日の朝）」があります。,be/am/is,～である
She has [ ] to Paris twice on business.,am,was,been,be,been,現在完了形「has + 過去分詞」の形を作ります。,be/am/is,～である
They want to [ ] kind to everyone they meet.,are,were,been,be,be,不定詞「to」の後ろには動詞の原型（be）がきます。,be/are,～である
We [ ] at the library at this time yesterday.,are,were,been,be,were,主語が複数（We）で、文の中に「yesterday（昨日）」があります。,be/are,～である
They have [ ] friends since they were children.,are,were,been,be,been,現在完了形「have + 過去分詞」の形を作ります。,be/are,～である
The concert will [ ] at seven o'clock tonight.,begins,began,begun,begin,begin,助動詞「will」の後ろには動詞の原型がきます。,begin,始める
The baby suddenly [ ] to cry a few minutes ago.,begins,began,begun,begin,began,文末に「a few minutes ago（数分前）」という過去の言葉があります。,begin,始める
The movie has already [ ], so please be quiet.,begins,began,begun,begin,begun,現在完了形「has + 過去分詞」の形を作ります。,begin,始める
Be careful not to [ ] the fragile glass cup.,breaks,broke,broken,break,break,不定詞「to」の後ろには動詞の原型がきます。,break,こわす
He [ ] his favorite pencil during the test yesterday.,breaks,broke,broken,break,broke,文末に「yesterday（昨日）」という過去の言葉があります。,break,こわす
The window was [ ] by the soccer ball this morning.,breaks,broke,broken,break,broken,受動態「was + 過去分詞」の形を作ります。,break,こわす
You must [ ] the best option for your career.,chooses,chose,chosen,choose,choose,助動詞「must」の後ろには動詞の原型がきます。,choose,選ぶ
She [ ] a beautiful red dress for the party yesterday.,chooses,chose,chosen,choose,chose,文末に「yesterday（昨日）」という過去の言葉があります。,choose,選ぶ
A new leader has been [ ] by the committee members.,chooses,chose,chosen,choose,chosen,受動態「have been + 過去分詞」の形を作ります。,choose,選ぶ
What do you want to [ ] this weekend?,does,did,done,do,do,不定詞「to」の後ろには動詞の原型がきます。,do/does,する
He [ ] his homework before eating dinner yesterday evening.,does,did,done,do,did,文末に「yesterday evening（昨日の夕方）」という過去の言葉があります。,do/does,する
I have already [ ] all my laundry for today.,does,did,done,do,done,現在完了形「have + 過去分詞」の形を作ります。,do/does,する
I like to [ ] pictures of beautiful landscapes.,draws,drew,drawn,draw,draw,不定詞「to」の後ろには動詞の原型がきます。,draw,描く
The artist [ ] a wonderful portrait of the old man yesterday.,draws,drew,drawn,draw,drew,文末に「yesterday（昨日）」という過去の言葉があります。,draw,描く
This beautiful map was [ ] by a famous researcher long ago.,draws,drew,drawn,draw,drawn,受動態「was + 過去分詞」の形を作ります。,draw,描く
You should [ ] plenty of water on hot days.,drinks,drank,drunk,drink,drink,助動詞「should」の後ろには動詞の原型がきます。,drink,飲む
We [ ] some delicious coffee at the cafe yesterday afternoon.,drinks,drank,drunk,drink,drank,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,drink,飲む
He has [ ] three glasses of milk since this morning.,drinks,drank,drunk,drink,drunk,現在完了形「has + 過去分詞」の形を作ります。,drink,飲む
My elder brother will [ ] us to the airport tomorrow.,drives,drove,driven,drive,drive,助動詞「will」の後ろには動詞の原型がきます。,drive,運転する
My father [ ] a long distance to visit us last weekend.,drives,drove,driven,drive,drove,文末に「last weekend（先週末）」という過去の言葉があります。,drive,運転する
She has [ ] that red car for more than ten years.,drives,drove,driven,drive,driven,現在完了形「has + 過去分詞」の形を作ります。,drive,運転する
Children need to [ ] a healthy breakfast every morning.,eats,ate,eaten,eat,eat,不定詞「to」の後ろには動詞の原型がきます。,eat,食べる
We [ ] at a famous Italian restaurant last night.,eats,ate,eaten,eat,ate,文末に「last night（昨夜）」という過去の言葉があります。,eat,食べる
The delicious chocolate cake has been completely [ ] by them.,eats,ate,eaten,eat,eaten,受動態「have been + 過去分詞」の形を作ります。,eat,食べる
Heavy snow can cause old trees to [ ] down.,falls,fell,fallen,fall,fall,不定詞「to」の後ろには動詞の原型がきます。,fall,落ちる
A beautiful shooting star [ ] across the night sky yesterday.,falls,fell,fallen,fall,fell,文末に「yesterday（昨日）」という過去の言葉があります。,fall,落ちる
The temperature has [ ] significantly since last night.,falls,fell,fallen,fall,fallen,現在完了形「has + 過去分詞」の形を作ります。,fall,落ちる
Birds can [ ] high up in the sky easily.,flys,flew,flown,fly,fly,助動詞「can」の後ろには動詞の原型がきます。,fly,飛ぶ
We [ ] from Tokyo to London for our vacation last month.,flys,flew,flown,fly,flew,文末に「last month（先月）」という過去の言葉があります。,fly,飛ぶ
The small airplane has [ ] over the mountains many times.,flys,flew,flown,fly,flown,現在完了形「has + 過去分詞」の形を作ります。,fly,飛ぶ
Please try not to [ ] your umbrella on the train.,forgets,forgot,forgotten,forget,forget,不定詞「to」の後ろには動詞の原型がきます。,forget,忘れる
I totally [ ] to lock the front door this morning.,forgets,forgot,forgotten,forget,forgot,文末に「this morning（今朝）」という過去の言葉があります。,forget,忘れる
The old promise has been completely [ ] by everyone.,forgets,forgot,forgotten,forget,forgotten,受動態「have been + 過去分詞」の形を作ります。,forget,忘れる
Can you [ ] me some advice on this matter?,gives,gave,given,give,give,助動詞「Can」の後ろには動詞の原型がきます。,give,与える
My grandmother [ ] me this beautiful watch for my birthday last year.,gives,gave,given,give,gave,文末に「last year（昨年）」という過去の言葉があります。,give,与える
A lot of opportunities have been [ ] to the young students.,gives,gave,given,give,given,受動態「have been + 過去分詞」の形を作ります。,give,与える
We plan to [ ] to the museum next Saturday.,goes,went,gone,go,go,不定詞「to」の後ろには動詞の原型がきます。,go,行く
He [ ] to the supermarket to buy some fruits yesterday morning.,goes,went,gone,go,went,文末に「yesterday morning（昨日の朝）」という過去の言葉があります。,go,行く
She has already [ ] home to cook dinner for her family.,goes,went,gone,go,gone,現在完了形「has + 過去分詞」の形を作ります。,go,行く
Farmers want to [ ] organic vegetables in this field.,grows,grew,grown,grow,grow,不定詞「to」の後ろには動詞の原型がきます。,grow,成長する
The small plants [ ] rapidly during the rainy season last month.,grows,grew,grown,grow,grew,文末に「last month（先月）」という過去の言葉があります。,grow,成長する
The town has [ ] into a big city over the past twenty years.,grows,grew,grown,grow,grown,現在完了形「has + 過去分詞」の形を作ります。,grow,成長する
It is important to [ ] your own strengths and weaknesses.,knows,knew,known,know,know,不定詞「to」の後ろには動詞の原型がきます。,know,長っている
I [ ] the answer to that difficult question yesterday afternoon.,knows,knew,known,know,knew,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,know,長っている
He has been [ ] as a great doctor for a long time.,knows,knew,known,know,known,受動態「has been + 過去分詞」の形を作ります。,know,長っている
I want to [ ] a bicycle around the beautiful lake.,rides,rode,ridden,ride,ride,不定詞「to」の後ろには動詞の原型がきます。,ride,乗る
She [ ] a horse for the first time during her trip last week.,rides,rode,ridden,ride,rode,文末に「last week（先週）」という過去の言葉があります。,ride,乗る
He has [ ] the subway to school every day since last year.,rides,rode,ridden,ride,ridden,現在完了形「has + 過去分詞」の形を作ります。,ride,乗る
The church bell will [ ] at midnight on New Year's Eve.,rings,rang,rung,ring,ring,助動詞「will」の後ろには動詞の原型がきます。,ring,鳴る
The telephone [ ] loudly while I was taking a bath last night.,rings,rang,rung,ring,rang,文末に「last night（昨夜）」という過去の言葉があります。,ring,鳴る
The bell has already [ ] three times for the next class.,rings,rang,rung,ring,rung,現在完了形「has + 過去分詞」の形を作ります。,ring,鳴る
The sun will [ ] at six o'clock tomorrow morning.,rises,rose,risen,rise,rise,助動詞「will」の後ろには動詞の原型がきます。,rise,昇る
The prices of vegetables [ ] sharply due to the bad weather last month.,rises,rose,risen,rise,rose,文末に「last month（先月）」という過去の言葉があります。,rise,昇る
The river water has [ ] significantly because of the heavy rain.,rises,rose,risen,rise,risen,現在完了形「has + 過去分詞」の形を作ります。,rise,昇る
I want to [ ] the beautiful sunset at the beach.,sees,saw,seen,see,see,不定詞「to」の後ろには動詞の原型がきます。,see,見る
We [ ] a wonderful movie at the theater yesterday evening.,sees,saw,seen,see,saw,文末に「yesterday evening（昨日の夕方）」という過去の言葉があります。,see,見る
Have you ever [ ] a wild bear in the mountains before?,sees,saw,seen,see,seen,現在完了形「Have you + 過去分詞」の形を作ります。,see,見る
Please [ ] me your identification card at the entrance.,shows,showed,shown,show,show,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,show,示す
The teacher [ ] us an interesting video during the class yesterday.,shows,showed,shown,show,showed,文末に「yesterday（昨日）」という過去の言葉があります。,show,示す
The results of the test have been [ ] on the bulletin board.,shows,showed,shown,show,shown,受動態「have been + 過去分詞」の形を作ります。,show,示す
She loves to [ ] beautiful songs in front of everyone.,sings,sang,sung,sing,sing,不定詞「to」の後ろには動詞の原型がきます。,sing,歌う
The children [ ] a happy song together at the party last night.,sings,sang,sung,sing,sang,文末に「last night（昨夜）」という過去の言葉があります。,sing,歌う
Our school anthem has been [ ] by students for fifty years.,sings,sang,sung,sing,sung,受動態「have been + 過去分詞」の形を作ります。,sing,歌う
A heavy rock will [ ] to the bottom of the river quickly.,sinks,sank,sunk,sink,sink,助動詞「will」の後ろには動詞の原型がきます。,sink,沈む
The pirate ship [ ] into the deep ocean a long time ago.,sinks,sank,sunk,sink,sank,文末に「a long time ago（ずっと昔）」という過去の言葉があります。,sink,沈む
The sun has already [ ] below the horizon,  so it is dark.,sinks,sank,sunk,sink,sunk,現在完了形「has + 過去分詞」の形を作ります。,sink,沈む
You should [ ] English as much as possible every day.,speaks,spoke,spoken,speak,speak,助動詞「should」の後ろには動詞の原型がきます。,speak,話す
He [ ] to the manager about the new schedule yesterday morning.,speaks,spoke,spoken,speak,spoke,文末に「yesterday morning（昨日の朝）」という過去の言葉があります。,speak,話す
French is [ ] by millions of people around the world.,speaks,spoke,spoken,speak,spoken,受動態「is + 過去分詞」の形を作ります。,speak,話す
Children need to learn how to [ ] at a young age.,swims,swam,swum,swim,swim,不定詞「to」の後ろには動詞の原型がきます。,swim,泳ぐ
We [ ] across the pool many times yesterday afternoon.,swims,swam,swum,swim,swam,文末に「yesterday afternoon（昨日の午後）」という過去の言葉があります。,swim,泳ぐ
She has [ ] in the ocean three times since last summer.,swims,swam,swum,swim,swum,現在完了形「has + 過去分詞」の形を作ります。,swim,泳ぐ
Don't forget to [ ] your medicine after dinner.,takes,took,taken,take,take,不定詞「to」の後ろには動詞の原型がきます。,take,取る
My father [ ] a lot of beautiful pictures during our trip last week.,takes,took,taken,take,took,文末に「last week（先週）」という過去の言葉があります。,take,取る
The final decision has been [ ] by the company president.,takes,took,taken,take,taken,受動態「have been + 過去分詞」の形を作ります。,take,取る
It is dangerous to [ ] a stone near the windows.,throws,threw,thrown,throw,throw,不定詞「to」の後ろには動詞の原型がきます。,throw,投げる
The pitcher [ ] a very fast ball in the game yesterday.,throws,threw,thrown,throw,threw,文末に「yesterday（昨日）」という過去の言葉があります。,throw,投げる
A lot of plastic garbage was [ ] away into the river last night.,throws,threw,thrown,throw,thrown,受動態「was + 過去分詞」の形を作ります。,throw,投げる
You must [ ] up early to catch the first train tomorrow.,wakes,woke,woken,wake,wake,助動詞「must」の後ろには動詞の原型がきます。,wake,目が覚める
I [ ] up at five o'clock by accident yesterday morning.,wakes,woke,woken,wake,woke,文末に「yesterday morning（昨日の朝）」という過去の言葉があります。,wake,目が覚める
The baby has just [ ] up from his afternoon nap.,wakes,woke,woken,wake,woken,現在完了形「has + 過去分詞」の形を作ります。,wake,目が覚める
You should [ ] a warm coat because it is very cold today.,wears,wore,worn,wear,wear,助動詞「should」の後ろには動詞の原型がきます。,wear,着ている
She [ ] a beautiful black dress to the party last Friday.,wears,wore,worn,wear,wore,文末に「last Friday（先週の金曜日）」という過去の言葉があります。,wear,着ている
These leather shoes have been [ ] by him for five years.,wears,wore,worn,wear,worn,受動態「have been + 過去分詞」の形を作ります。,wear,着ている
Please [ ] your name and address on this paper.,writes,wrote,written,write,write,命令文の冒頭（Pleaseの後ろ）には動詞の原型がきます。,write,書く
He [ ] a long letter to his parents yesterday evening.,writes,wrote,written,write,wrote,文末に「yesterday evening（昨日の夕方）」という過去の言葉があります。,write,書く
